time;pertugt;impgt;mgt;rkip
2018.05.06;8;18;2;279
2018.05.13;10;20;2;309
2018.05.20;6;18;4;356
2018.05.27;7;18;3;314
2018.06.03;9;22;4;288
2018.06.10;7;23;4;358
2018.06.17;7;19;3;362
2018.06.24;9;20;3;382
2018.07.01;8;20;3;373
2018.07.08;8;20;2;344
2018.07.15;6;20;2;344
2018.07.22;6;18;2;348
2018.07.29;6;18;3;319
2018.08.05;7;17;2;272
2018.08.12;6;18;2;301
2018.08.19;8;18;3;304
2018.08.26;8;18;2;332
2018.09.02;7;18;2;398
2018.09.09;10;19;2;365
2018.09.16;8;20;2;372
2018.09.23;9;18;2;387
2018.09.30;9;17;2;390
2018.10.07;8;21;2;290
2018.10.14;10;21;2;303
2018.10.21;11;20;2;315
2018.10.28;9;18;2;350
2018.11.04;11;21;2;242
2018.11.11;20;20;2;341
2018.11.18;15;18;2;374
2018.11.25;11;17;3;400
2018.12.02;13;18;2;424
2018.12.09;16;17;2;405
2018.12.16;16;17;2;403
2018.12.23;12;9;2;400
2018.12.30;9;12;2;95
2019.01.06;14;20;2;142
2019.01.13;12;21;3;391
2019.01.20;14;21;4;359
2019.01.27;14;21;4;371
2019.02.03;14;21;5;367
2019.02.10;16;23;5;404
2019.02.17;15;22;4;365
2019.02.24;13;21;6;344
2019.03.03;14;22;8;320
2019.03.10;13;23;10;252
2019.03.17;13;25;6;338
